StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1_1,C1_2,C1_3,C1_4,C1_5,AnchoredMaxDiff7,C2_1,C2_2,C2_3,C2_4,C2_5,AnchoredMaxDiff8,C3_1,C3_2,C3_3,C3_4,C3_5,AnchoredMaxDiff9,C4_1,C4_2,C4_3,C4_4,C4_5,AnchoredMaxDiff10,C5_1,C5_2,C5_3,C5_4,C5_5,AnchoredMaxDiff11,C6_1,C6_2,C6_3,C6_4,C6_5,AnchoredMaxDiff12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,1.5_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,2.5_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,3.5_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,4.5_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF,5.5_MAXDIFF,6.1_MAXDIFF,6.2_MAXDIFF,6.3_MAXDIFF,6.4_MAXDIFF,6.5_MAXDIFF,revision_MAXDIFF,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"(1/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-1.1_MAXDIFF]","(1/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-1.2_MAXDIFF]","(1/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-1.3_MAXDIFF]","(1/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-1.4_MAXDIFF]","(1/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-1.5_MAXDIFF]","Considering only the options above, would you like to own","(2/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-2.1_MAXDIFF]","(2/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-2.2_MAXDIFF]","(2/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-2.3_MAXDIFF]","(2/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-2.4_MAXDIFF]","(2/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-2.5_MAXDIFF]","Considering only the options above, would you like to own","(3/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-3.1_MAXDIFF]","(3/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-3.2_MAXDIFF]","(3/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-3.3_MAXDIFF]","(3/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-3.4_MAXDIFF]","(3/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-3.5_MAXDIFF]","Considering only the options above, would you like to own","(4/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-4.1_MAXDIFF]","(4/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-4.2_MAXDIFF]","(4/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-4.3_MAXDIFF]","(4/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-4.4_MAXDIFF]","(4/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-4.5_MAXDIFF]","Considering only the options above, would you like to own","(5/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-5.1_MAXDIFF]","(5/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-5.2_MAXDIFF]","(5/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-5.3_MAXDIFF]","(5/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-5.4_MAXDIFF]","(5/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-5.5_MAXDIFF]","Considering only the options above, would you like to own","(6/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-6.1_MAXDIFF]","(6/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-6.2_MAXDIFF]","(6/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-6.3_MAXDIFF]","(6/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-6.4_MAXDIFF]","(6/6) Which pet would you MOST want to own, and which would you LEAST want to own? - [Field-6.5_MAXDIFF]","Considering only the options above, would you like to own","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Dog","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Cat","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Fish","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Bird","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Hamster","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Rabbit","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Lizard","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Turtle","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Guinea pig","Now think about each type of pet. If it were possible, would you ever actually consider owning this pet? - Horse",vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,1.5_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,2.5_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,3.5_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,4.5_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF,5.5_MAXDIFF,6.1_MAXDIFF,6.2_MAXDIFF,6.3_MAXDIFF,6.4_MAXDIFF,6.5_MAXDIFF,revision_MAXDIFF,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID10""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""vers_MAXDIFF""}","{""ImportId"":""1.1_MAXDIFF""}","{""ImportId"":""1.2_MAXDIFF""}","{""ImportId"":""1.3_MAXDIFF""}","{""ImportId"":""1.4_MAXDIFF""}","{""ImportId"":""1.5_MAXDIFF""}","{""ImportId"":""2.1_MAXDIFF""}","{""ImportId"":""2.2_MAXDIFF""}","{""ImportId"":""2.3_MAXDIFF""}","{""ImportId"":""2.4_MAXDIFF""}","{""ImportId"":""2.5_MAXDIFF""}","{""ImportId"":""3.1_MAXDIFF""}","{""ImportId"":""3.2_MAXDIFF""}","{""ImportId"":""3.3_MAXDIFF""}","{""ImportId"":""3.4_MAXDIFF""}","{""ImportId"":""3.5_MAXDIFF""}","{""ImportId"":""4.1_MAXDIFF""}","{""ImportId"":""4.2_MAXDIFF""}","{""ImportId"":""4.3_MAXDIFF""}","{""ImportId"":""4.4_MAXDIFF""}","{""ImportId"":""4.5_MAXDIFF""}","{""ImportId"":""5.1_MAXDIFF""}","{""ImportId"":""5.2_MAXDIFF""}","{""ImportId"":""5.3_MAXDIFF""}","{""ImportId"":""5.4_MAXDIFF""}","{""ImportId"":""5.5_MAXDIFF""}","{""ImportId"":""6.1_MAXDIFF""}","{""ImportId"":""6.2_MAXDIFF""}","{""ImportId"":""6.3_MAXDIFF""}","{""ImportId"":""6.4_MAXDIFF""}","{""ImportId"":""6.5_MAXDIFF""}","{""ImportId"":""revision_MAXDIFF""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-08-24 16:55:49,2025-08-24 16:55:49,2,,100,0,1,2025-08-24 16:55:49,R_6g6z9yocVL2UJ8y,,,,,,,test,,1,2,,,,2,,,,1,2,2,,2,,,1,2,2,,1,,,3,,,,2,1,3,2,,,,1,1,1,1,2,,,2,,,1,,1,Lizard,Horse,Bird,Rabbit,Cat,Turtle,Hamster,Guinea pig,Fish,Cat,Rabbit,Cat,Horse,Hamster,Bird,Horse,Dog,Fish,Turtle,Lizard,Hamster,Lizard,Dog,Cat,Horse,Bird,Fish,Turtle,Guinea pig,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:49,2025-08-24 16:55:50,2,,100,1,1,2025-08-24 16:55:50,R_29KcBT39aIFZo46,,,,,,,test,,,1,,2,,2,,,2,1,,3,,,1,2,,2,,,,1,2,2,,1,2,,,1,2,1,,,,1,2,,,2,,,1,2,,1,2,Dog,Hamster,Guinea pig,Cat,Fish,Horse,Lizard,Cat,Dog,Hamster,Cat,Horse,Bird,Turtle,Guinea pig,Bird,Dog,Fish,Rabbit,Turtle,Turtle,Rabbit,Hamster,Bird,Dog,Lizard,Bird,Rabbit,Fish,Cat,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:50,2025-08-24 16:55:50,2,,100,0,1,2025-08-24 16:55:50,R_beca4fvSXwmCxxk,,,,,,,test,,,2,,,1,3,,1,2,,,1,2,,1,,,1,,1,2,,,3,,1,,2,,1,2,1,,,,3,,1,1,1,2,,,,1,,3,Dog,Guinea pig,Fish,Lizard,Hamster,Rabbit,Hamster,Guinea pig,Fish,Cat,Hamster,Horse,Rabbit,Dog,Guinea pig,Fish,Bird,Cat,Lizard,Turtle,Guinea pig,Cat,Turtle,Horse,Fish,Cat,Lizard,Dog,Hamster,Horse,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:50,2025-08-24 16:55:51,2,,100,1,1,2025-08-24 16:55:51,R_ehbF7zXOJpKADt4,,,,,,,test,,,,2,1,,3,1,2,,,,1,,,1,2,,3,1,,2,,,3,2,,,1,,3,,2,1,,,2,,,,2,2,2,1,,,2,4,Lizard,Dog,Guinea pig,Horse,Turtle,Hamster,Lizard,Rabbit,Fish,Guinea pig,Fish,Hamster,Turtle,Lizard,Dog,Horse,Rabbit,Guinea pig,Cat,Bird,Fish,Bird,Cat,Hamster,Horse,Rabbit,Guinea pig,Lizard,Turtle,Cat,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:51,2025-08-24 16:55:51,2,,100,0,1,2025-08-24 16:55:51,R_cZkZaEsVyaKx3EO,,,,,,,test,,2,,,,1,1,,2,1,,,2,1,,,,2,2,,1,,2,,1,2,1,,,,3,,,1,,2,2,,,,2,2,,1,1,,1,5,Turtle,Hamster,Rabbit,Lizard,Cat,Bird,Turtle,Dog,Hamster,Rabbit,Cat,Rabbit,Hamster,Bird,Fish,Guinea pig,Lizard,Cat,Rabbit,Horse,Lizard,Hamster,Horse,Fish,Turtle,Fish,Cat,Guinea pig,Lizard,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:51,2025-08-24 16:55:51,2,,100,0,1,2025-08-24 16:55:51,R_9HzzK5TZLdFPzXo,,,,,,,test,,,1,,,2,1,1,,,,2,2,2,,,1,,2,2,,,,1,3,2,,,,1,2,,,2,,1,1,,,,1,1,,2,1,,2,6,Horse,Guinea pig,Rabbit,Dog,Lizard,Turtle,Cat,Lizard,Hamster,Bird,Rabbit,Lizard,Guinea pig,Horse,Fish,Dog,Turtle,Hamster,Rabbit,Guinea pig,Cat,Rabbit,Dog,Fish,Hamster,Hamster,Fish,Horse,Bird,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:52,2025-08-24 16:55:52,2,,100,0,1,2025-08-24 16:55:52,R_25dnz4rLk8wn2bc,,,,,,,test,,2,,,,1,2,,,2,1,,3,,1,,2,,3,1,2,,,,2,2,,,1,,2,,2,1,,,2,,,,1,2,,1,1,,2,7,Bird,Hamster,Guinea pig,Lizard,Fish,Hamster,Dog,Bird,Guinea pig,Lizard,Guinea pig,Turtle,Horse,Dog,Rabbit,Dog,Horse,Turtle,Guinea pig,Cat,Fish,Bird,Cat,Turtle,Dog,Rabbit,Fish,Lizard,Horse,Turtle,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:52,2025-08-24 16:55:52,2,,100,0,1,2025-08-24 16:55:52,R_8nXgJEYkW6OQw3c,,,,,,,test,,2,,1,,,2,1,,,,2,1,,2,,1,,2,,,1,,2,3,,,,2,1,2,2,1,,,,1,,,,2,2,,2,2,,1,8,Rabbit,Bird,Guinea pig,Dog,Horse,Bird,Dog,Fish,Cat,Guinea pig,Horse,Guinea pig,Cat,Lizard,Hamster,Lizard,Cat,Hamster,Turtle,Rabbit,Dog,Turtle,Lizard,Rabbit,Bird,Guinea pig,Turtle,Bird,Horse,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
